,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,C,23,TOR,55,12,1140,196,404,29,108,167,296,87,124,100,228,328,50,31,30,59,102,508
1,Steven Adams,C,29,MEM,42,42,1133,157,263,0,1,157,262,47,129,214,271,485,97,36,46,79,98,361
2,Bam Adebayo,C,25,MIA,75,75,2598,602,1114,1,12,601,1102,324,402,184,504,688,240,88,61,187,208,1529
3,Ochai Agbaji,SG,22,UTA,59,22,1209,165,386,81,228,84,158,56,69,43,78,121,67,16,15,41,99,467
4,Santi Aldama,PF,22,MEM,77,20,1682,247,525,94,266,153,259,108,144,85,286,371,97,45,48,60,143,696
5,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,131,295,61,159,70,136,40,60,15,86,101,108,32,21,55,88,363
6,Grayson Allen,SG,27,MIL,72,70,1972,245,557,146,366,99,191,114,126,61,176,237,163,62,14,72,117,750
7,Jarrett Allen,C,24,CLE,68,68,2220,403,626,1,10,402,616,162,221,221,445,666,113,54,84,93,153,969
8,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,83,247,118,242,65,80,28,113,141,186,67,10,81,125,550
9,Kyle Anderson,PF,29,MIN,69,46,1957,252,495,43,105,209,390,100,136,66,302,368,335,78,63,103,146,647
10,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,707,1278,47,171,660,1107,498,772,137,605,742,359,52,51,246,197,1959
11,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,20,46,0,8,20,38,11,22,15,29,44,15,3,3,12,22,51
12,Cole Anthony,PG,22,ORL,60,4,1552,277,610,75,206,202,404,152,170,47,241,288,235,37,31,91,158,781
13,OG Anunoby,SF,25,TOR,67,67,2386,421,885,142,367,279,518,140,167,95,237,332,131,128,50,132,200,1124
14,Ryan Arcidiacono,PG,28,TOT,20,4,172,9,37,8,23,1,14,0,0,0,15,15,23,5,0,7,17,26
15,Deni Avdija,SF,22,WAS,76,40,2020,253,579,69,232,184,347,122,165,74,413,487,211,65,29,123,209,697
16,Deandre Ayton,C,24,PHO,67,67,2035,522,887,7,24,515,863,152,200,172,495,667,115,37,53,120,190,1203
17,Udoka Azubuike,C,23,UTA,36,4,359,59,72,0,0,59,72,7,20,31,88,119,11,6,15,18,34,125
18,Marvin Bagley III,C,23,DET,42,25,990,202,382,19,66,183,316,81,108,94,175,269,36,19,30,46,81,504
19,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,43,109,32,84,11,25,4,6,1,39,40,11,6,4,11,14,122
20,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,118,838
21,Mo Bamba,C,24,TOT,49,7,769,117,241,48,124,69,117,41,62,58,167,225,46,13,43,30,105,323
22,Paolo Banchero,PF,20,ORL,72,72,2430,479,1122,85,285,394,837,394,534,84,413,497,269,60,39,200,160,1437
